og:36 op: 0 ig:39 | 7.62 | 7.62 | 2025-10-08 15:22:16
og:36 op: 1 ig: 0 | 0.23 | 0.23 | 2025-10-08 15:22:16
og:36 op: 1 ig: 1 | 0.05 | 0.23 | 2025-10-08 15:22:17
og:36 op: 1 ig: 2 | 0.20 | 0.23 | 2025-10-08 15:22:18
og:36 op: 1 ig: 3 | 0.19 | 0.23 | 2025-10-08 15:22:18
og:36 op: 1 ig: 4 | 0.18 | 0.23 | 2025-10-08 15:22:19
og:36 op: 1 ig: 5 | 0.28 | 0.28 | 2025-10-08 15:22:19
og:36 op: 1 ig: 6 | 0.08 | 0.28 | 2025-10-08 15:22:20
og:36 op: 1 ig: 7 | 0.04 | 0.28 | 2025-10-08 15:22:21
og:36 op: 1 ig: 8 | 0.23 | 0.28 | 2025-10-08 15:22:21
og:36 op: 1 ig: 9 | 0.77 | 0.77 | 2025-10-08 15:22:22
og:36 op: 1 ig:10 | 0.15 | 0.77 | 2025-10-08 15:22:23
og:36 op: 1 ig:11 | 1.50 | 1.50 | 2025-10-08 15:22:23
og:36 op: 1 ig:12 | 0.81 | 1.50 | 2025-10-08 15:22:24
og:36 op: 1 ig:13 | 0.15 | 1.50 | 2025-10-08 15:22:25
og:36 op: 1 ig:14 | 0.52 | 1.50 | 2025-10-08 15:22:25
og:36 op: 1 ig:15 | 0.25 | 1.50 | 2025-10-08 15:22:26
og:36 op: 1 ig:16 | 1.27 | 1.50 | 2025-10-08 15:22:26
og:36 op: 1 ig:17 | 0.76 | 1.50 | 2025-10-08 15:22:27
og:36 op: 1 ig:18 | 1.04 | 1.50 | 2025-10-08 15:22:28
og:36 op: 1 ig:19 | 2.09 | 2.09 | 2025-10-08 15:22:28
og:36 op: 1 ig:20 | 0.93 | 2.09 | 2025-10-08 15:22:29
og:36 op: 1 ig:21 | 0.98 | 2.09 | 2025-10-08 15:22:30
og:36 op: 1 ig:22 | 0.65 | 2.09 | 2025-10-08 15:22:30
og:36 op: 1 ig:23 | 0.60 | 2.09 | 2025-10-08 15:22:31
og:36 op: 1 ig:24 | 1.73 | 2.09 | 2025-10-08 15:22:32
og:36 op: 1 ig:25 | 1.03 | 2.09 | 2025-10-08 15:22:32
og:36 op: 1 ig:26 | 0.99 | 2.09 | 2025-10-08 15:22:33
og:36 op: 1 ig:27 | 2.14 | 2.14 | 2025-10-08 15:22:33
og:36 op: 1 ig:28 | 2.23 | 2.23 | 2025-10-08 15:22:34
og:36 op: 1 ig:29 | 2.19 | 2.23 | 2025-10-08 15:22:35
og:36 op: 1 ig:30 | 2.42 | 2.42 | 2025-10-08 15:22:36
og:36 op: 1 ig:31 | 1.62 | 2.42 | 2025-10-08 15:22:36
og:36 op: 1 ig:32 | 1.58 | 2.42 | 2025-10-08 15:22:37
og:36 op: 1 ig:33 | 2.12 | 2.42 | 2025-10-08 15:22:37
og:36 op: 1 ig:34 | 2.67 | 2.67 | 2025-10-08 15:22:38
og:36 op: 1 ig:35 | 2.18 | 2.67 | 2025-10-08 15:22:39
og:36 op: 1 ig:36 | 2.18 | 2.67 | 2025-10-08 15:22:39
og:36 op: 1 ig:37 | 2.46 | 2.67 | 2025-10-08 15:22:40
og:36 op: 1 ig:38 | 2.19 | 2.67 | 2025-10-08 15:22:41
og:36 op: 1 ig:39 | 2.54 | 2.67 | 2025-10-08 15:22:41
og:36 op: 2 ig: 0 | -0.00 | -0.00 | 2025-10-08 15:22:42
og:36 op: 2 ig: 1 | 0.12 | 0.12 | 2025-10-08 15:22:43
og:36 op: 2 ig: 2 | 0.18 | 0.18 | 2025-10-08 15:22:43
og:36 op: 2 ig: 3 | 0.63 | 0.63 | 2025-10-08 15:22:44
og:36 op: 2 ig: 4 | 0.18 | 0.63 | 2025-10-08 15:22:44
og:36 op: 2 ig: 5 | 1.17 | 1.17 | 2025-10-08 15:22:45
og:36 op: 2 ig: 6 | 0.83 | 1.17 | 2025-10-08 15:22:46
og:36 op: 2 ig: 7 | 0.30 | 1.17 | 2025-10-08 15:22:46
og:36 op: 2 ig: 8 | 0.22 | 1.17 | 2025-10-08 15:22:47
og:36 op: 2 ig: 9 | 0.57 | 1.17 | 2025-10-08 15:22:47
og:36 op: 2 ig:10 | 0.32 | 1.17 | 2025-10-08 15:22:48
og:36 op: 2 ig:11 | 0.03 | 1.17 | 2025-10-08 15:22:49
og:36 op: 2 ig:12 | 0.09 | 1.17 | 2025-10-08 15:22:49
og:36 op: 2 ig:13 | 0.10 | 1.17 | 2025-10-08 15:22:50
og:36 op: 2 ig:14 | 0.37 | 1.17 | 2025-10-08 15:22:50
og:36 op: 2 ig:15 | 0.51 | 1.17 | 2025-10-08 15:22:51
og:36 op: 2 ig:16 | 1.01 | 1.17 | 2025-10-08 15:22:52
og:36 op: 2 ig:17 | 0.39 | 1.17 | 2025-10-08 15:22:52
og:36 op: 2 ig:18 | 0.40 | 1.17 | 2025-10-08 15:22:53
og:36 op: 2 ig:19 | 0.31 | 1.17 | 2025-10-08 15:22:53
og:36 op: 2 ig:20 | 0.67 | 1.17 | 2025-10-08 15:22:54
og:36 op: 2 ig:21 | 0.40 | 1.17 | 2025-10-08 15:22:55
og:36 op: 2 ig:22 | 1.01 | 1.17 | 2025-10-08 15:22:55
og:36 op: 2 ig:23 | 0.30 | 1.17 | 2025-10-08 15:22:56
og:36 op: 2 ig:24 | 0.60 | 1.17 | 2025-10-08 15:22:56
og:36 op: 2 ig:25 | 0.96 | 1.17 | 2025-10-08 15:22:57
og:36 op: 2 ig:26 | 2.05 | 2.05 | 2025-10-08 15:22:58
og:36 op: 2 ig:27 | 0.67 | 2.05 | 2025-10-08 15:22:59
og:36 op: 2 ig:28 | 1.07 | 2.05 | 2025-10-08 15:23:00
